Wooden Plank
Stick
Torch
Crafting Table
Furnace
Chest
Wood Pickaxe
Stone Pickaxe
Iron Pickaxe
Gold Pickaxe
Diamond Pickaxe
Wood Shovel
Stone Shovel
Iron Shovel
Gold Shovel
Diamond Shovel
Wood Axe
Stone Axe
Iron Axe
Gold Axe
Diamond Axe
Wood Hoe
Stone Hoe
Iron Hoe
Gold Hoe
Diamond Hoe
Bucket
Flint and Steel
Fire Charge
Fishing Rod
Carrot on a Stick
Compass
Clock
Map
Shear
Wood Sword
Stone Sword
Iron Sword
Gold Sword
Diamond Sword
Bow
Arrow
Leather Helmet
Iron Helmet
Gold Helmet
Diamond Helmet
Leather Chestplate
Iron Chestplate
Gold Chestplate
Diamond Chestplate
Leather Legging
Iron Legging
Gold Legging
Diamond Legging
Leather Boot
Iron Boot
Gold Boot
Diamond Boot
Iron Block
Gold Block
Diamond Block
Emerald Block
Lapis Lazuli block
Glowstone
Clay Block
Brick
Stone Brick
Sandstone
Smooth Sandstone
Decorative Sandstone
Snow Block
Wool Block
Wooden Slab
Stone Slab
Sandstone Slab
Stone Brick Slab
Brick Slab
Cobblestone Slab
Wood Stair
Cobblestone Stair
Wood Door
Iron Door
Trapdoor
Ladder
Fence
Fence Gate
Nether Brick Fence
Cobblestone Wall
Mossy Cobblestone Wall
Iron Bar
Glass Pane
Bread
Mushroom Stew
Cake
Cookie
Pumpkin Pie
Golden Carrot
Golden Apple
Enchanted Golden Apple
Melon
Paper
Book
Book and Quill
Sign
Painting
Item Frame
Flower Pot
Bowl
Sugar
Pumpkin Seed
Melon Seed
Glistening Melon
Gold Ingot
Bed
Beacon
Cauldron
Enchantment Table
Ender Chest
Anvil
Blaze Powder
Brewing Stand
Eye of Ender
Fermented Spider Eye
Bottle
Magma Cream
Wood
Coal
Cobblestone
Stone Block
Iron Ingot
Diamond
Flint
Gunpowder
String
Carrot
Redstone Dust
Feather
Leather
Emerald
Lapis Lazuli
Glowstone Dust
Clay Ball
Clay Brick
Sand
Snowball
Stone
Nether Brick
Mossy Cobblestone
Glass
Wheat
Red Mushroom
Brown Mushroom
Milk
Egg
Cocoa Bean
Pumpkin
Gold Nugget
Apple
Melon Slice
Sugar Cane
Ink Sac
Wool
Nether Star
Obsidian
Eye Of Ender
Blaze Rod
Ender Pearl
Spider Eye
Slime Ball
